graph,app,l3_size,policy,miss_rate,delta_vs_lru_pct,l3_accesses,claim_status,claim_citation
email-Eu-core,bc,1MB,POPT,1.000000,+0.0000,,no_claim,
email-Eu-core,bc,1MB,SRRIP,1.000000,+0.0000,,insufficient_data,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
email-Eu-core,bc,4MB,GRASP,1.000000,+0.0000,,no_claim,
email-Eu-core,bc,4MB,LRU,1.000000,+0.0000,,no_claim,
email-Eu-core,bc,4MB,POPT,1.000000,+0.0000,,no_claim,
email-Eu-core,bc,4MB,SRRIP,1.000000,+0.0000,,insufficient_data,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
email-Eu-core,bc,8MB,GRASP,1.000000,+0.0000,,no_claim,
email-Eu-core,bc,8MB,LRU,1.000000,+0.0000,,no_claim,
email-Eu-core,bc,8MB,POPT,1.000000,+0.0000,,no_claim,
email-Eu-core,bc,8MB,SRRIP,1.000000,+0.0000,,insufficient_data,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
email-Eu-core,bfs,1MB,GRASP,1.000000,+0.0000,,no_claim,
email-Eu-core,bfs,1MB,LRU,1.000000,+0.0000,,no_claim,
email-Eu-core,bfs,1MB,POPT,1.000000,+0.0000,,no_claim,
email-Eu-core,bfs,1MB,SRRIP,1.000000,+0.0000,,insufficient_data,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
email-Eu-core,bfs,4MB,GRASP,1.000000,+0.0000,,no_claim,
email-Eu-core,bfs,4MB,LRU,1.000000,+0.0000,,no_claim,
email-Eu-core,bfs,4MB,POPT,1.000000,+0.0000,,no_claim,
email-Eu-core,bfs,4MB,SRRIP,1.000000,+0.0000,,insufficient_data,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
email-Eu-core,bfs,8MB,GRASP,1.000000,+0.0000,,no_claim,
email-Eu-core,bfs,8MB,LRU,1.000000,+0.0000,,no_claim,
email-Eu-core,bfs,8MB,POPT,1.000000,+0.0000,,no_claim,
email-Eu-core,bfs,8MB,SRRIP,1.000000,+0.0000,,insufficient_data,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1 (extended)
email-Eu-core,pr,1MB,GRASP,1.000000,+0.0000,,no_claim,
email-Eu-core,pr,1MB,LRU,1.000000,+0.0000,,no_claim,
email-Eu-core,pr,1MB,POPT,1.000000,+0.0000,,no_claim,
email-Eu-core,pr,1MB,SRRIP,1.000000,+0.0000,,insufficient_data,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1
email-Eu-core,pr,4MB,GRASP,1.000000,+0.0000,,no_claim,
email-Eu-core,pr,4MB,LRU,1.000000,+0.0000,,no_claim,
email-Eu-core,pr,4MB,POPT,1.000000,+0.0000,,no_claim,
email-Eu-core,pr,4MB,SRRIP,1.000000,+0.0000,,insufficient_data,Jaleel et al. ISCA 2010 §5.2; Faldu et al. HPCA 2020 §6.1
