citation,graph,app,l3_size,policy,expected_sign,min_abs_delta_pct,max_abs_delta_pct,tolerance_pct,delta_pct,status
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,roadNet-CA,bfs,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,35.0138,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),roadNet-CA,bfs,256kB,POPT_GE_GRASP,-,,,1.5,-20.2333,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,roadNet-CA,bfs,256kB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,20.2333,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),roadNet-CA,bfs,4kB,POPT_GE_GRASP,-,,,1.5,0.0445,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,roadNet-CA,bfs,4kB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.0445,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),roadNet-CA,bfs,64kB,POPT_GE_GRASP,-,,,1.5,-1.9665,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,roadNet-CA,bfs,64kB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,1.9665,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),roadNet-CA,cc,16kB,POPT_GE_GRASP,-,,,1.5,0.2153,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,roadNet-CA,cc,16kB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.2153,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),roadNet-CA,cc,1MB,POPT_GE_GRASP,-,,,1.5,-4.0615,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,roadNet-CA,cc,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,4.0615,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),roadNet-CA,cc,256kB,POPT_GE_GRASP,-,,,1.5,-2.7847,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,roadNet-CA,cc,256kB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,2.7847,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),roadNet-CA,cc,4kB,POPT_GE_GRASP,-,,,1.5,0.06,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,roadNet-CA,cc,4kB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.06,ok
Balaji & Lucia HPCA 2021 §6.3 (extended),roadNet-CA,cc,64kB,POPT_GE_GRASP,-,,,1.5,0.2719,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,roadNet-CA,cc,64kB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.2719,ok
Balaji & Lucia HPCA 2021 §6.3,roadNet-CA,pr,16kB,POPT_GE_GRASP,-,,,1.0,0.0314,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,roadNet-CA,pr,16kB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.0314,ok
Balaji & Lucia HPCA 2021 §6.3,roadNet-CA,pr,1MB,POPT_GE_GRASP,-,,,1.0,-6.4667,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,roadNet-CA,pr,1MB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,6.4667,ok
Balaji & Lucia HPCA 2021 §6.3,roadNet-CA,pr,256kB,POPT_GE_GRASP,-,,,1.0,-5.5113,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,roadNet-CA,pr,256kB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,5.5113,ok
Balaji & Lucia HPCA 2021 §6.3,roadNet-CA,pr,4kB,POPT_GE_GRASP,-,,,1.0,-0.001,ok
Faldu HPCA20 §6.1 + Balaji HPCA21 Fig 9 cross-check,roadNet-CA,pr,4kB,POPT_NEAR_GRASP_IF_BIG_GAP,~,,5.0,2.0,0.001,ok
